PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Bananas,0.86,30.4,26.14
Watermelon,0.66,28.8,19.01
Corn,1.07,33,35.31
Lemon,1.27,39.6,50.29
Coconuts,1.18,13.2,15.58
Bok choy,1.42,17.3,24.57
Red onion,0.78,27.8,21.68
Corn,1.07,0.8,0.86
Orange,1.09,8.7,9.48
Papaya,1.34,13.2,17.69
Lettuce,1.88,11.2,21.06
Daikon,1.4,28.6,40.04
Butternut squash,1.28,24.5,31.36
Red onion,0.78,14.1,11
Papaya,1.34,19.8,26.53
Bok choy,1.42,31.5,44.73
Butternut squash,1.28,29.2,37.38
Papaya,1.34,31.3,41.94
Green peppers,1.89,33.3,62.94
Brussels sprouts,1.65,4.9,8.09
Grapefruit,0.76,22.3,16.95
Red onion,0.78,37.1,28.94
Parsnips,2.27,23.6,53.57
Apples,1.88,18.7,35.16
Okra,2.26,8.1,18.31
Asparagus,2.49,9.4,23.41
Celery,1.19,25.2,29.99
Beets,1.51,13.2,19.93
Celery,1.19,21,24.99
Beets,1.51,28.8,43.49
Cucumber,1.07,35.1,37.56
Watermelon,0.66,18,11.88
Brussels sprouts,1.65,28.1,46.37
Lettuce,1.88,4.7,8.84
Brussels sprouts,1.65,10.5,17.33
Daikon,1.4,35.9,50.26
Coconuts,1.18,15.9,18.76
Grapefruit,0.76,7.1,5.4
Celery,1.19,34.4,40.94
Watermelon,0.66,15.7,10.36
Celery,1.19,7.1,8.45
Kale,5.02,2,10.04
Watermelon,0.66,9.4,6.2
Ginger,5.13,13.8,70.79
Garlic,3.07,8.7,26.71
Grapefruit,0.76,34.6,26.3
Cherries,9.5,22.9,217.55
Grapes,2.63,15.2,39.98
Asparagus,2.49,1.3,3.24
Bananas,0.86,17.1,14.71
Apples,1.88,27.8,52.26
Red onion,0.78,25.3,19.73
Cucumber,1.07,13.1,14.02
Parsnips,2.27,29.6,67.19
Okra,2.26,37.1,83.85
Garlic,3.07,2.4,7.37
Butternut squash,1.28,32.7,41.86
Watermelon,0.66,8.4,5.54
Spinach,4.12,9.5,39.14
Avocados,3.23,6.6,21.32
Potatoes,0.86,38.9,33.45
Daikon,1.4,34.5,48.3
Carrots,1.26,13.8,17.39
Green cabbage,0.8,30.1,24.08
Cherries,9.5,24.4,231.8
Apricots,3.71,35.5,131.71
Lime,1.06,17.2,18.23
Brussels sprouts,1.65,0.7,1.16
Asparagus,2.49,17.9,44.57
Okra,2.26,14.2,32.09
Lime,1.06,16,16.96
Apples,1.88,0.9,1.69
Lemon,1.27,34.4,43.69
Okra,2.26,32.5,73.45
Apples,1.88,33.4,62.79
Strawberries,4.4,31.6,139.04
Bok choy,1.42,10.3,14.63
Garlic,3.07,13.8,42.37
Parsnips,2.27,32.9,74.68
Yellow peppers,2.87,15.2,43.62
Apricots,3.71,10.8,40.07
Ginger,5.13,28.3,145.18
Kale,5.02,27.3,137.05
Papaya,1.34,33.2,44.49
Potatoes,0.86,27,23.22
Garlic,3.07,39.4,120.96
Apricots,3.71,19.1,70.86
Asparagus,2.49,26.8,66.73
Avocados,3.23,21.3,68.8
Parsnips,2.27,4.3,9.76
Ginger,5.13,30.4,155.95
Corn,1.07,40,42.8
Cucumber,1.07,27.7,29.64
Orange,1.09,18.9,20.6
Strawberries,4.4,38.7,170.28
Cherries,9.5,5.6,53.2
Daikon,1.4,34.9,48.86
Celery,1.19,24.8,29.51
Green beans,2.52,25.2,63.5
Daikon,1.4,26.7,37.38
Orange,1.09,7.3,7.96
Butternut squash,1.28,35.8,45.82
Garlic,3.07,39.5,121.27
Grapes,2.63,5.6,14.73
Strawberries,4.4,24.7,108.68
Carrots,1.26,34.1,42.97
Brussels sprouts,1.65,10.5,17.33
Cherries,9.5,6.7,63.65
Green beans,2.52,18.3,46.12
Cucumber,1.07,21.3,22.79
Cucumber,1.07,39.7,42.48
Garlic,3.07,16.3,50.04
Kale,5.02,27.9,140.06
Strawberries,4.4,11.3,49.72
Green beans,2.52,28.1,70.81
Parsnips,2.27,34.1,77.41
Avocados,3.23,15.7,50.71
Eggplant,2.32,20.8,48.26
Potatoes,0.86,19.7,16.94
Grapefruit,0.76,37.4,28.42
Garlic,3.07,31.7,97.32
Yellow peppers,2.87,31.5,90.41
Beets,1.51,11.3,17.06
Garlic,3.07,13.8,42.37
Fava beans,2.69,13.6,36.58
Grapefruit,0.76,8.2,6.23
Lettuce,1.88,40,75.2
Grapefruit,0.76,11,8.36
Garlic,3.07,28,85.96
Carrots,1.26,38.6,48.64
Ginger,5.13,16,82.08
Green beans,2.52,15.4,38.81
Lime,1.06,3.8,4.03
Lime,1.06,13.4,14.2
Cucumber,1.07,6,6.42
Corn,1.07,37.2,39.8
Potatoes,0.86,32.8,28.21
Potatoes,0.86,34.7,29.84
Grapefruit,0.76,5.6,4.26
Green beans,2.52,1.7,4.28
Green cabbage,0.8,32.6,26.08
Bok choy,1.42,19.8,28.12
Parsnips,2.27,32.9,74.68
Lime,1.06,2.1,2.23
Grapes,2.63,26.7,70.22
Spinach,4.12,27.7,114.12
Bok choy,1.42,11.4,16.19
Watermelon,0.66,28,18.48
Garlic,3.07,8.8,27.02
Fava beans,2.69,34.9,93.88
Beets,1.51,25.1,37.9
Watermelon,0.66,1.3,0.86
Potatoes,0.86,15.3,13.16
Okra,2.26,32.4,73.22
Red onion,0.78,2.7,2.11
Red onion,0.78,6.4,4.99
Grapefruit,0.76,31.9,24.24
Cucumber,1.07,34,36.38
Daikon,1.4,39.8,55.72
Kale,5.02,32.8,164.66
Green beans,2.52,0.6,1.51
Okra,2.26,32.4,73.22
Green cabbage,0.8,23.5,18.8
Potatoes,0.86,11.5,9.89
Kale,5.02,28.8,144.58
Red onion,0.78,15.9,12.4
Tomatoes,3.16,19.1,60.36
Ginger,5.13,30,153.9
Cherries,9.5,17.7,168.15
Cucumber,1.07,2.2,2.35
Brussels sprouts,1.65,21.9,36.14
Spinach,4.12,4.2,17.3
Corn,1.07,10.2,10.91
Grapes,2.63,25.8,67.85
Papaya,1.34,36.6,49.04
Ginger,5.13,8.2,42.07
Ginger,5.13,6.7,34.37
Garlic,3.07,27.2,83.5
Beets,1.51,2.2,3.32
Carrots,1.26,5.3,6.68
Okra,2.26,14.9,33.67
Watermelon,0.66,7.2,4.75
Kale,5.02,1.1,5.52
Corn,1.07,26.1,27.93
Grapefruit,0.76,12.4,9.42
Potatoes,0.86,33.4,28.72
Parsnips,2.27,3.5,7.95
Grapes,2.63,35.5,93.37
Potatoes,0.86,3,2.58
Beets,1.51,6,9.06
Lemon,1.27,23.1,29.34
Garlic,3.07,17.1,52.5
Butternut squash,1.28,18.3,23.42
Coconuts,1.18,39.9,47.08
Yellow peppers,2.87,23,66.01
Green cabbage,0.8,35.4,28.32
Grapefruit,0.76,28,21.28
Beets,1.51,28.7,43.34
Orange,1.09,12.2,13.3
Yellow peppers,2.87,25.9,74.33
Kale,5.02,9.7,48.69
Fava beans,2.69,37.6,101.14
Apricots,3.71,38.9,144.32
Orange,1.09,22.7,24.74
Red onion,0.78,8.5,6.63
Corn,1.07,3.9,4.17
Spinach,4.12,32.7,134.72
Papaya,1.34,3.9,5.23
Grapes,2.63,26.6,69.96
Grapes,2.63,32.3,84.95
Apricots,3.71,24,89.04
Cucumber,1.07,23.9,25.57
Cherries,9.5,38,361
Orange,1.09,10.3,11.23
Apples,1.88,4.8,9.02
Apples,1.88,28.4,53.39
Lettuce,1.88,23.9,44.93
Tomatoes,3.16,34.6,109.34
Avocados,3.23,1.6,5.17
Daikon,1.4,7.1,9.94
Orange,1.09,34.2,37.28
Carrots,1.26,0.8,1.01
Red onion,0.78,26.1,20.36
Green cabbage,0.8,15.1,12.08
Yellow peppers,2.87,31.2,89.54
Yellow peppers,2.87,7.4,21.24
Kale,5.02,5.5,27.61
Green beans,2.52,32.1,80.89
Beets,1.51,7.5,11.33
Orange,1.09,26.6,28.99
Tomatoes,3.16,5.2,16.43
Grapefruit,0.76,6.7,5.09
Spinach,4.12,24.6,101.35
Bananas,0.86,20.7,17.8
Kale,5.02,32.8,164.66
Kale,5.02,19.5,97.89
Avocados,3.23,39.8,128.55
Grapefruit,0.76,30.3,23.03
Avocados,3.23,22.3,72.03
Grapes,2.63,8.3,21.83
Lettuce,1.88,13.4,25.19
Kale,5.02,16.3,81.83
Apples,1.88,35.8,67.3
Eggplant,2.32,16.4,38.05
Grapes,2.63,23.2,61.02
Brussels sprouts,1.65,19.7,32.51
Green peppers,1.89,21.3,40.26
Tomatoes,3.16,18.3,57.83
Tomatoes,3.16,2.6,8.22
Beets,1.51,0.5,0.76
Ginger,5.13,28.8,147.74
Potatoes,0.86,15.1,12.99
Strawberries,4.4,19.2,84.48
Okra,2.26,38.2,86.33
Okra,2.26,29.3,66.22
Kale,5.02,14,70.28
Lettuce,1.88,19.8,37.22
Daikon,1.4,11.9,16.66
Coconuts,1.18,38,44.84
Brussels sprouts,1.65,26.8,44.22
Bananas,0.86,38.6,33.2
Yellow peppers,2.87,18.6,53.38
Parsnips,2.27,6.4,14.53
Lettuce,1.88,6.7,12.6
Green cabbage,0.8,39.4,31.52
Ginger,5.13,17.8,91.31
Lettuce,1.88,5.3,9.96
Grapefruit,0.76,31.3,23.79
Strawberries,4.4,25.1,110.44
Garlic,3.07,0.5,1.54
Kale,5.02,1.7,8.53
Bananas,0.86,25.6,22.02
Apples,1.88,22.1,41.55
Avocados,3.23,24.1,77.84
Green peppers,1.89,5.6,10.58
Green beans,2.52,2.3,5.8
Grapes,2.63,20.1,52.86
Grapes,2.63,23.7,62.33
Strawberries,4.4,1.4,6.16
Avocados,3.23,23.5,75.91
Spinach,4.12,23.7,97.64
Apples,1.88,32.7,61.48
Corn,1.07,35.1,37.56
Potatoes,0.86,15.1,12.99
Lime,1.06,27.9,29.57
Strawberries,4.4,39.8,175.12
Papaya,1.34,8,10.72
Garlic,3.07,28.8,88.42
Grapes,2.63,19.2,50.5
Lemon,1.27,31.9,40.51
Potatoes,0.86,5.4,4.64
Avocados,3.23,4.2,13.57
Okra,2.26,12,27.12
Grapes,2.63,22.3,58.65
Lettuce,1.88,3.6,6.77
Cherries,9.5,1.5,14.25
Grapes,2.63,21.6,56.81
Bananas,0.86,31.8,27.35
Tomatoes,3.16,5.1,16.12
Grapefruit,0.76,28.4,21.58
Bok choy,1.42,35.9,50.98
Eggplant,2.32,11.1,25.75
Carrots,1.26,13,16.38
Avocados,3.23,35.6,114.99
Celery,1.19,39.1,46.53
Corn,1.07,23.8,25.47
Celery,1.19,19.2,22.85
Corn,1.07,7.1,7.6
Asparagus,2.49,1.7,4.23
Orange,1.09,26.6,28.99
Green beans,2.52,25.3,63.76
Green peppers,1.89,34.5,65.21
Green beans,2.52,26.3,66.28
Ginger,5.13,35.4,181.6
Yellow peppers,2.87,17.4,49.94
Watermelon,0.66,14,9.24
Celery,1.19,10.6,12.61
Orange,1.09,35.9,39.13
Fava beans,2.69,31.9,85.81
Bananas,0.86,8.9,7.65
Lemon,1.27,33,41.91
Strawberries,4.4,21.4,94.16
Papaya,1.34,16.1,21.57
Apricots,3.71,32.5,120.58
Grapefruit,0.76,4.8,3.65
Eggplant,2.32,9.7,22.5
Fava beans,2.69,31.4,84.47
Kale,5.02,30.4,152.61
Kale,5.02,2.2,11.04
Watermelon,0.66,19.8,13.07
Daikon,1.4,37,51.8
Yellow peppers,2.87,21.1,60.56
Bok choy,1.42,14.2,20.16
Green beans,2.52,12.2,30.74
Carrots,1.26,5.6,7.06
Ginger,5.13,11.1,56.94
Okra,2.26,36.8,83.17
Cucumber,1.07,23.8,25.47
Fava beans,2.69,23.8,64.02
Green beans,2.52,5,12.6
Yellow peppers,2.87,28,80.36
Grapefruit,0.76,35.7,27.13
Bananas,0.86,25,21.5
Watermelon,0.66,32.4,21.38
Corn,1.07,1,1.07
Lime,1.06,17.3,18.34
Okra,2.26,19,42.94
Fava beans,2.69,37.6,101.14
Garlic,3.07,31.8,97.63
Strawberries,4.4,22.7,99.88
Okra,2.26,3,6.78
Green cabbage,0.8,23.3,18.64
Brussels sprouts,1.65,18.6,30.69
Butternut squash,1.28,1.5,1.92
Cucumber,1.07,33.3,35.63
Garlic,3.07,10.2,31.31
Papaya,1.34,32.9,44.09
Butternut squash,1.28,36.6,46.85
Potatoes,0.86,33.7,28.98
Bananas,0.86,5.2,4.47
Apricots,3.71,33.1,122.8
Orange,1.09,35.2,38.37
Watermelon,0.66,8.5,5.61
Orange,1.09,23.1,25.18
Strawberries,4.4,24.3,106.92
Carrots,1.26,39,49.14
Daikon,1.4,21.9,30.66
Parsnips,2.27,24.5,55.62
Orange,1.09,38.2,41.64
Eggplant,2.32,36.1,83.75
Spinach,4.12,31.4,129.37
Apricots,3.71,16.8,62.33
Ginger,5.13,2,10.26
Papaya,1.34,3.2,4.29
Orange,1.09,34,37.06
Orange,1.09,32.9,35.86
Eggplant,2.32,31.5,73.08
Potatoes,0.86,31.1,26.75
Potatoes,0.86,17.1,14.71
Bananas,0.86,34.1,29.33
Tomatoes,3.16,25.8,81.53
Lettuce,1.88,12.5,23.5
Ginger,5.13,2.2,11.29
Cucumber,1.07,20.5,21.94
Okra,2.26,19.8,44.75
Avocados,3.23,15.5,50.07
Corn,1.07,29,31.03
Butternut squash,1.28,5.1,6.53
Green cabbage,0.8,4.2,3.36
Tomatoes,3.16,7.1,22.44
Cherries,9.5,25.1,238.45
Papaya,1.34,18.2,24.39
Ginger,5.13,13.5,69.26
Apricots,3.71,27.7,102.77
Cucumber,1.07,30.2,32.31
Orange,1.09,34,37.06
Avocados,3.23,37.9,122.42
Green cabbage,0.8,1.9,1.52
Fava beans,2.69,12.9,34.7
Green peppers,1.89,19.9,37.61
Apricots,3.71,1.5,5.57
Strawberries,4.4,2.4,10.56
Spinach,4.12,1.6,6.59
Lettuce,1.88,10.7,20.12
Tomatoes,3.16,24.6,77.74
Daikon,1.4,10.3,14.42
Cucumber,1.07,13.9,14.87
Cherries,9.5,31.4,298.3
Fava beans,2.69,23.2,62.41
Grapefruit,0.76,21.7,16.49
Daikon,1.4,14.4,20.16
Potatoes,0.86,25.2,21.67
Asparagus,2.49,14.6,36.35
Grapefruit,0.76,30.2,22.95
Bok choy,1.42,21.8,30.96
Red onion,0.78,18.6,14.51
Celery,1.19,25.1,29.87
Parsnips,2.27,12,27.24
Coconuts,1.18,21.5,25.37
Eggplant,2.32,35.2,81.66
Okra,2.26,25,56.5
Carrots,1.26,18.1,22.81
Cherries,9.5,27.3,259.35
Orange,1.09,38.4,41.86
Green cabbage,0.8,20.8,16.64
Avocados,3.23,4.6,14.86
Beets,1.51,19.9,30.05
Yellow peppers,2.87,10,28.7
Beets,1.51,36.4,54.96
Ginger,5.13,34.8,178.52
Kale,5.02,6.3,31.63
Red onion,0.78,2.8,2.18
Butternut squash,1.28,13.1,16.77
Cherries,9.5,5.7,54.15
Okra,2.26,24.1,54.47
Parsnips,2.27,12.8,29.06
Daikon,1.4,16.6,23.24
Parsnips,2.27,25.1,56.98
Eggplant,2.32,36.1,83.75
Brussels sprouts,1.65,11.1,18.32
Tomatoes,3.16,5,15.8
Green peppers,1.89,38.6,72.95
Carrots,1.26,6.1,7.69
Eggplant,2.32,3.5,8.12
Garlic,3.07,28.5,87.5
Butternut squash,1.28,32.1,41.09
Lime,1.06,11.2,11.87
Kale,5.02,10.5,52.71
Grapefruit,0.76,8.7,6.61
Asparagus,2.49,13.7,34.11
Kale,5.02,26.3,132.03
Grapes,2.63,2.2,5.79
Beets,1.51,25.4,38.35
Cucumber,1.07,16.4,17.55
Tomatoes,3.16,11.5,36.34
Carrots,1.26,37.5,47.25
Avocados,3.23,25.5,82.37
Bananas,0.86,36.1,31.05
Apples,1.88,2.3,4.32
Lemon,1.27,29.6,37.59
Yellow peppers,2.87,29.8,85.53
Cherries,9.5,16.5,156.75
Tomatoes,3.16,10.1,31.92
Coconuts,1.18,5.9,6.96
Asparagus,2.49,37.7,93.87
Lettuce,1.88,25.3,47.56
Fava beans,2.69,23.4,62.95
Corn,1.07,26.2,28.03
Brussels sprouts,1.65,34.3,56.6
Apricots,3.71,8.1,30.05
Watermelon,0.66,3.6,2.38
Bananas,0.86,20.4,17.54
Bananas,0.86,35.1,30.19
Coconuts,1.18,31.4,37.05
Tomatoes,3.16,9.4,29.7
Green cabbage,0.8,7.5,6
Carrots,1.26,13.7,17.26
Beets,1.51,15.2,22.95
Ginger,5.13,27.4,140.56
Coconuts,1.18,10.3,12.15
Asparagus,2.49,34.9,86.9
Daikon,1.4,1.2,1.68
Brussels sprouts,1.65,6.7,11.06
Grapes,2.63,3,7.89
Brussels sprouts,1.65,30.2,49.83
Celery,1.19,29.7,35.34
Strawberries,4.4,24.4,107.36
Green peppers,1.89,34.3,64.83
Garlic,3.07,15.9,48.81
Bananas,0.86,5.8,4.99
Celery,1.19,16.6,19.75
Yellow peppers,2.87,21.5,61.71
Apples,1.88,40,75.2
Watermelon,0.66,6.6,4.36
Kale,5.02,4.2,21.08
Coconuts,1.18,30.5,35.99
Lettuce,1.88,6.3,11.84
Green peppers,1.89,21.5,40.64
Ginger,5.13,38.5,197.51
Bok choy,1.42,9.7,13.77
Lime,1.06,10.2,10.81
Grapes,2.63,14,36.82
Apricots,3.71,14.8,54.91
Apples,1.88,28.9,54.33
Okra,2.26,23.1,52.21
Coconuts,1.18,19.5,23.01
Bok choy,1.42,2.9,4.12
Bananas,0.86,37.7,32.42
Garlic,3.07,4.8,14.74
Apples,1.88,7.7,14.48
Grapes,2.63,5.4,14.2
Watermelon,0.66,36.4,24.02
Apricots,3.71,25.2,93.49
Grapes,2.63,36.3,95.47
Green beans,2.52,22,55.44
Bok choy,1.42,13.9,19.74
Daikon,1.4,26.8,37.52
Tomatoes,3.16,34.9,110.28
Lemon,1.27,31.6,40.13
Apricots,3.71,12.5,46.38
Brussels sprouts,1.65,1,1.65
Lettuce,1.88,37.8,71.06
Okra,2.26,22.9,51.75
Eggplant,2.32,31.5,73.08
Asparagus,2.49,4.2,10.46
Fava beans,2.69,5.9,15.87
Coconuts,1.18,3.6,4.25
Butternut squash,1.28,23.7,30.34
Garlic,3.07,3.5,10.75
Parsnips,2.27,14.9,33.82
Cucumber,1.07,3.4,3.64
Bok choy,1.42,20.7,29.39
Asparagus,2.49,11.5,28.64
Bananas,0.86,11.9,10.23
Green cabbage,0.8,34,27.2
Potatoes,0.86,30.1,25.89
Grapes,2.63,10.8,28.4
Lime,1.06,24.6,26.08
Brussels sprouts,1.65,28.4,46.86
Lemon,1.27,8.4,10.67
Green peppers,1.89,7.9,14.93
Green beans,2.52,23.5,59.22
Red onion,0.78,28.9,22.54
Okra,2.26,16.4,37.06
Carrots,1.26,19.2,24.19
Avocados,3.23,22.8,73.64
Tomatoes,3.16,7.3,23.07
Bananas,0.86,24.3,20.9
Brussels sprouts,1.65,23.4,38.61
Eggplant,2.32,6,13.92
Celery,1.19,5.8,6.9
Daikon,1.4,1.6,2.24
Apricots,3.71,31.3,116.12
Kale,5.02,9.5,47.69
Lemon,1.27,38.8,49.28
Strawberries,4.4,21.3,93.72
Beets,1.51,23.6,35.64
Cherries,9.5,18.1,171.95
Coconuts,1.18,27.2,32.1
Bok choy,1.42,32.5,46.15
Bananas,0.86,14.7,12.64
Eggplant,2.32,1.7,3.94
Daikon,1.4,26.8,37.52
Lemon,1.27,24.5,31.12
Coconuts,1.18,13.9,16.4
Bok choy,1.42,1.2,1.7
Avocados,3.23,2.3,7.43
Fava beans,2.69,16.1,43.31
Garlic,3.07,22.1,67.85
Fava beans,2.69,5.4,14.53
Brussels sprouts,1.65,6.1,10.07
Yellow peppers,2.87,10.9,31.28
Red onion,0.78,30.9,24.1
Green beans,2.52,12.5,31.5
Apples,1.88,9.6,18.05
Cherries,9.5,0.8,7.6
Lettuce,1.88,25.3,47.56
Lime,1.06,5,5.3
Carrots,1.26,18.7,23.56
Cucumber,1.07,27.3,29.21
Beets,1.51,27.3,41.22
Grapes,2.63,1.6,4.21
Asparagus,2.49,16.3,40.59
Watermelon,0.66,38.6,25.48
Cherries,9.5,8.5,80.75
Corn,1.07,16.2,17.33
Grapefruit,0.76,20.9,15.88
Beets,1.51,2.9,4.38
Avocados,3.23,36.6,118.22
Asparagus,2.49,35.7,88.89
Lime,1.06,34,36.04
Grapes,2.63,10.7,28.14
Strawberries,4.4,3.4,14.96
Coconuts,1.18,12.5,14.75
Grapes,2.63,10.6,27.88
Green beans,2.52,4.5,11.34
Green peppers,1.89,34.8,65.77
Brussels sprouts,1.65,13.8,22.77
Okra,2.26,4.7,10.62
Fava beans,2.69,38.7,104.1
Parsnips,2.27,34.4,78.09
Fava beans,2.69,34.1,91.73
Corn,1.07,16,17.12
Lime,1.06,10.9,11.55
Asparagus,2.49,28.4,70.72
Apples,1.88,19.8,37.22
Asparagus,2.49,24.9,62
Okra,2.26,1.3,2.94
Fava beans,2.69,7.2,19.37
Parsnips,2.27,31.5,71.51
Grapes,2.63,37.2,97.84
Asparagus,2.49,36.9,91.88
Avocados,3.23,22.2,71.71
Parsnips,2.27,9.3,21.11
Eggplant,2.32,11.2,25.98
Carrots,1.26,24.1,30.37
Green peppers,1.89,19.4,36.67
Red onion,0.78,34.8,27.14
Brussels sprouts,1.65,35.4,58.41
Bok choy,1.42,36.5,51.83
Beets,1.51,33.6,50.74
Green peppers,1.89,29.1,55
Garlic,3.07,38.5,118.2
Strawberries,4.4,25.6,112.64
Apricots,3.71,22.1,81.99
Bok choy,1.42,18.3,25.99
Green cabbage,0.8,26.5,21.2
Red onion,0.78,7.4,5.77
Ginger,5.13,26.4,135.43
Yellow peppers,2.87,38.1,109.35
Tomatoes,3.16,14.2,44.87
Grapes,2.63,37.4,98.36
Daikon,1.4,38.4,53.76
Spinach,4.12,37.9,156.15
Daikon,1.4,1.3,1.82
Green cabbage,0.8,9.1,7.28
Okra,2.26,10,22.6
Green beans,2.52,1.4,3.53
Watermelon,0.66,20.5,13.53
Green beans,2.52,9.8,24.7
Avocados,3.23,18.8,60.72
Okra,2.26,12.5,28.25
Strawberries,4.4,33.8,148.72
Strawberries,4.4,1.8,7.92
Cucumber,1.07,11.5,12.31
Cherries,9.5,20.5,194.75
Asparagus,2.49,35.7,88.89
Daikon,1.4,20.6,28.84
Fava beans,2.69,33.8,90.92
Kale,5.02,32.9,165.16
Kale,5.02,38,190.76
Celery,1.19,31.4,37.37
Lemon,1.27,6.3,8
Carrots,1.26,21.2,26.71
Green beans,2.52,11.9,29.99
Garlic,3.07,34.1,104.69
Parsnips,2.27,1.5,3.41
Grapes,2.63,15.9,41.82
Coconuts,1.18,38.8,45.78
Papaya,1.34,18,24.12
Lettuce,1.88,3.6,6.77
Celery,1.19,8.8,10.47
Green beans,2.52,15,37.8
Tomatoes,3.16,30.1,95.12
Lime,1.06,12.9,13.67
Parsnips,2.27,15.8,35.87
Green cabbage,0.8,13.1,10.48
Lettuce,1.88,12.5,23.5
Celery,1.19,4.2,5
Orange,1.09,27.5,29.98
Ginger,5.13,28.8,147.74
Orange,1.09,25.9,28.23
Avocados,3.23,36.3,117.25
Watermelon,0.66,36.4,24.02
Ginger,5.13,20,102.6
Red onion,0.78,24.3,18.95
Apples,1.88,29.8,56.02
Green beans,2.52,22.7,57.2
Coconuts,1.18,37.9,44.72
Apples,1.88,33.3,62.6
Cucumber,1.07,1,1.07
Tomatoes,3.16,7.7,24.33
Brussels sprouts,1.65,18.2,30.03
Okra,2.26,21.7,49.04
Apricots,3.71,31.7,117.61
Green cabbage,0.8,19.1,15.28
Orange,1.09,24.3,26.49
Lime,1.06,32.7,34.66
Red onion,0.78,7.5,5.85
Papaya,1.34,13.1,17.55
Watermelon,0.66,27,17.82
Green beans,2.52,12.1,30.49
Green peppers,1.89,5.6,10.58
Yellow peppers,2.87,28.2,80.93
Bananas,0.86,12.8,11.01
Daikon,1.4,29.2,40.88
Carrots,1.26,32.2,40.57
Butternut squash,1.28,4.3,5.5
Avocados,3.23,11.7,37.79
Asparagus,2.49,15.2,37.85
Brussels sprouts,1.65,35.5,58.58
Green cabbage,0.8,38.2,30.56
Kale,5.02,29,145.58
Strawberries,4.4,4,17.6
Red onion,0.78,24.3,18.95
Orange,1.09,7.6,8.28
Papaya,1.34,14.5,19.43
Fava beans,2.69,10.5,28.25
Cherries,9.5,13.7,130.15
Brussels sprouts,1.65,10.3,17
Ginger,5.13,10.6,54.38
Lime,1.06,23,24.38
Green beans,2.52,4.6,11.59
Lemon,1.27,6.2,7.87
Green peppers,1.89,31.9,60.29
Lime,1.06,35.7,37.84
Corn,1.07,33.1,35.42
Lemon,1.27,4.4,5.59
Apricots,3.71,5,18.55
Red onion,0.78,2.3,1.79
Celery,1.19,33.3,39.63
Papaya,1.34,18.6,24.92
Spinach,4.12,22.8,93.94
Butternut squash,1.28,16.3,20.86
Green beans,2.52,31.3,78.88
Beets,1.51,23.5,35.49
Parsnips,2.27,1.2,2.72
Green peppers,1.89,1.6,3.02
Butternut squash,1.28,14.7,18.82
Watermelon,0.66,36,23.76
Kale,5.02,36.7,184.23
Cucumber,1.07,2.4,2.57
Green beans,2.52,13,32.76
Grapefruit,0.76,19,14.44
Cherries,9.5,3.3,31.35
Grapefruit,0.76,22,16.72
Kale,5.02,16.7,83.83
Cucumber,1.07,35.7,38.2
Daikon,1.4,13.4,18.76
Cucumber,1.07,9,9.63
Okra,2.26,11.5,25.99
Daikon,1.4,21.5,30.1
Asparagus,2.49,15.1,37.6
Eggplant,2.32,6,13.92
Garlic,3.07,8.3,25.48
Bananas,0.86,30.7,26.4
Bananas,0.86,20,17.2
Celery,1.19,39.4,46.89
Beets,1.51,20.2,30.5
Fava beans,2.69,7.3,19.64
Okra,2.26,14.9,33.67
Potatoes,0.86,39,33.54
Parsnips,2.27,1.7,3.86
Spinach,4.12,37.6,154.91
Celery,1.19,9.2,10.95
Green peppers,1.89,24.8,46.87
Apples,1.88,34.2,64.3
Grapefruit,0.76,17.8,13.53
Apricots,3.71,7.6,28.2
Green peppers,1.89,29.7,56.13
Carrots,1.26,18.2,22.93
Butternut squash,1.28,35.5,45.44
Beets,1.51,9.8,14.8
Okra,2.26,6.7,15.14
Yellow peppers,2.87,22.6,64.86
Cucumber,1.07,38.7,41.41
Beets,1.51,23.2,35.03
Yellow peppers,2.87,17.7,50.8
Butternut squash,1.28,1.8,2.3
Ginger,5.13,36.2,185.71
Apples,1.88,7.4,13.91
Lime,1.06,7,7.42
Ginger,5.13,37.1,190.32
Green beans,2.52,10,25.2
Green cabbage,0.8,18.9,15.12
Okra,2.26,27.8,62.83
Grapes,2.63,31.5,82.85
Carrots,1.26,35,44.1
Cherries,9.5,12.6,119.7
Potatoes,0.86,2.2,1.89
Watermelon,0.66,14.3,9.44
Daikon,1.4,21.4,29.96
Orange,1.09,11.1,12.1
Celery,1.19,20.6,24.51
Beets,1.51,30.3,45.75
Watermelon,0.66,33.2,21.91
Spinach,4.12,31.6,130.19
Grapefruit,0.76,17.9,13.6
Asparagus,2.49,3.1,7.72
Strawberries,4.4,14.6,64.24
Garlic,3.07,10.2,31.31
Garlic,3.07,25.9,79.51
Garlic,3.07,20.4,62.63
Papaya,1.34,32.7,43.82
Bok choy,1.42,18.1,25.7
Brussels sprouts,1.65,32.8,54.12
Celery,1.19,23.4,27.85
Brussels sprouts,1.65,25.3,41.75
Grapes,2.63,23.4,61.54
Green cabbage,0.8,20.9,16.72
Apples,1.88,9.6,18.05
Tomatoes,3.16,33.2,104.91
Green peppers,1.89,7.7,14.55
Tomatoes,3.16,20.7,65.41
Okra,2.26,15.9,35.93
Yellow peppers,2.87,34.9,100.16
Lettuce,1.88,30.2,56.78
Green cabbage,0.8,31.3,25.04
Red onion,0.78,11.1,8.66
Garlic,3.07,11.7,35.92
